Student ID,Student Name,Majors,Professor ID,Professor Name,Departments
[Undecided   Physics   Politics],Comparative Studies/Lit & Cult,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Politics],History,randomly matched,
[Economics],Economics,major and department matches directly,
[Critical Theory & Social Justice   Politics   Psychology],Geology,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   History],Psychology,randomly matched,
[Undecided],Urban/Environmental Policy,randomly matched,
[Undecided   Chemistry   Cognitive Science],Politics,randomly matched,
[Economics   Philosophy   Psychology],Mathematics,major and department matches directly,
[Economics],East Asian Languages/Cultures,randomly matched,
[Diplomacy & World Affairs   English   Theater],History,randomly matched,
[Biology   Media Arts & Culture],Biology,major and department matches directly,
[Psychology   Sociology],Psychology,major and department matches directly,
[Diplomacy & World Affairs],Economics,randomly matched,
[Comparative Studies in Literature & Culture   Critical Theory & Social Justice   Diplomacy & World Affairs],Mathematics,randomly matched,
[Diplomacy & World Affairs   Media Arts & Culture   Politics],History,randomly matched,
[Undecided],Cognitive Science,randomly matched,
[Undecided],Religious Studies,randomly matched,
[Diplomacy & World Affairs   East Asian Studies   Group Language],Economics,randomly matched,
[Mathematics   Sociology],Mathematics,major and department matches directly,
[Diplomacy & World Affairs   Politics],Media Arts and Culture,randomly matched,
[Diplomacy & World Affairs   Politics],Philosophy,randomly matched,
[Sociology],Sociology,major and department matches directly,
[Biology],Biology,randomly matched,
[Biology   Cognitive Science],Chemistry,major and department matches directly,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Psychology],Spanish and French Studies,randomly matched,
[Undecided   Cognitive Science   Psychology],East Asian Languages/Cultures,randomly matched,
[Diplomacy & World Affairs   Politics   Sociology],Writing and Rhetoric,randomly matched,
[Politics],Politics,major and department matches directly,
[Diplomacy & World Affairs   Kinesiology   Psychology],Writing and Rhetoric,randomly matched,
[Media Arts & Culture   Theater],Computer Science,randomly matched,
[Critical Theory & Social Justice   English   Media Arts & Culture],Politics,randomly matched,
[Economics],Economics,randomly matched,
[Biology   Geology   Physics],Kinesiology,major and department matches directly,
[Psychology],Psychology,major and department matches directly,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Urban & Environmental Policy],History,randomly matched,
[Kinesiology],Kinesiology,randomly matched,
[Geology],Geology,randomly matched,
[Diplomacy & World Affairs   Latino/a and Latin American Studies   Urban & Environmental Policy],Physics,randomly matched,
[Diplomacy & World Affairs   Economics   Urban & Environmental Policy],Mathematics,randomly matched,
[Cognitive Science   Economics   Psychology],Sociology,randomly matched,
[Psychology],Psychology,major and department matches directly,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Politics],Urban/Environmental Policy,randomly matched,
[French   Media Arts & Culture   Theater],Psychology,randomly matched,
[Undecided   Biology   Economics],Education,randomly matched,
[Undecided   Psychology],Sociology,randomly matched,
[Urban & Environmental Policy],Psychology,randomly matched,
[Cognitive Science   Psychology],Writing and Rhetoric,randomly matched,
[Physics],Theater,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Group Language],Physics,randomly matched,
[Diplomacy & World Affairs   Politics   Urban & Environmental Policy],Theater,randomly matched,
[Cognitive Science   Media Arts & Culture   Theater],American Studies,randomly matched,
[Biology   Kinesiology   Psychology],Biology,major and department are related,
[Undecided   Economics   Media Arts & Culture],Media Arts and Culture,randomly matched,
[Biology   Politics   Urban & Environmental Policy],Biology,major and department matches directly,
[Undecided   Psychology   Urban & Environmental Policy],Philosophy,randomly matched,
[Critical Theory & Social Justice   Sociology   Urban & Environmental Policy],Spanish and French Studies,randomly matched,
[Undecided   Cognitive Science   Psychology],Spanish and French Studies,randomly matched,
[Biochemistry   Biology   Diplomacy & World Affairs],Diplomacy and World Affairs,major and department are related,
[Cognitive Science   French   Psychology],Cognitive Science,randomly matched,
[Economics],Economics,major and department matches directly,
[Cognitive Science   Diplomacy & World Affairs   Politics],Spanish and French Studies,randomly matched,
[Diplomacy & World Affairs   French   Politics],Theater,randomly matched,
[Biology   Group Language   Sociology],Music,major and department are related,
[Diplomacy & World Affairs   Economics   Media Arts & Culture],Philosophy,randomly match
